State,StateName,DistrictName,Phone,Website,Address,City,StateAbbr,Zip,NCES_ID,Type,LowestGrade,HighestGrade,Superintendent
AL,ALABAMA,Alabama Youth Services,(334)215-3860,http://www.dys.alabama.gov/school-district.html,1000 Industrial School Road,Mt Meigs,AL,36057,0100002,Regular public school district that is not a component of a supervisory union,KG,12,
AL,ALABAMA,Albertville City,(256)891-1183,http://www.albertk12.org,8379 US Highway 431,Albertville,AL,35950,0100005,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Marshall County,(256)582-3171,http://www.marshallk12.org,12380 US Highway 431 S,Guntersville,AL,35976,0100006,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Hoover City,(205)439-1015,http://www.hoovercityschools.net,2810 Metropolitan Way,Hoover,AL,35243,0100007,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Madison City,(256)464-8370,http://www.madisoncity.k12.al.us,211 Celtic Drive,Madison,AL,35758,0100008,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Al Inst Deaf And Blind,(256)761-3200,http://www.aidb.org,205 E South Street,Talladega,AL,35160,0100009,State operated agency,KG,12,
AL,ALABAMA,Al Sch Of Math And Science,(251)441-2100,,1255 Dauphin Street,Mobile,AL,36604,0100010,State operated agency,10,12,
AL,ALABAMA,Leeds City,(205)699-5437,http://www.leedsk12.org,1517 Hurst Avenue,Leeds,AL,35094,0100011,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Boaz City,(256)593-8180,http://www.boazk12.org,126 Newt Parker Dr,Boaz,AL,35957,0100012,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Trussville City,(205)228-3018,http://trussvillecityschools.com,476 Main Street,Trussville,AL,35173,0100013,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Alabama School of Fine Arts,(205)252-9241,http://www.asfa.k12.al.us,1800 Rev Abraham Woods Jr Blvd,Birmingham,AL,35203,0100018,State operated agency,07,12,
AL,ALABAMA,Alexander City,(256)234-8698,http://375 LEE ST,375 Lee Street,Alexander City,AL,35010,0100030,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Andalusia City,(334)222-3186,http://andalusiacityschools.schoolinsites.com/,1201 C C Baker Avenue,Andalusia,AL,36421,0100060,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Anniston City,(256)231-5000,http://www.annistonschools.com,4804 McClellan Boulevard,Anniston,AL,36206,0100090,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Arab City,(256)586-6011,http://www.arabcityschools.org,750 Arabian Dr NE,Arab,AL,35016,0100100,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Athens City,(256)233-6600,http://www.acs-k12.org,455 US Highway 31 North,Athens,AL,35611,0100120,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,JF Ingram State Technical College,(334)514-6147,,5375 Ingram Rd,Deatsville,AL,36022,0100176,State operated agency,09,12,
AL,ALABAMA,Attalla City,(256)459-7017,http://www.attalla.k12.al.us,101 Case Avenue SE,Attalla,AL,35954,0100180,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Saraland City,(251)375-5426,http://www.saralandboe.org,4010 Lil Spartan Drive,Saraland,AL,36571,0100185,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Chickasaw City,(251)452-2256,http://www.chickasawschools.com/,201 N Craft HWY,Chickasaw,AL,36611,0100188,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Satsuma City,(251)380-8200,http://www.satsumaschools.com,220 Baker Road,Satsuma,AL,36572,0100189,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Alabaster City,(205)663-8400,http://acsboe.org,10111 Highway 119,Alabaster,AL,35007,0100190,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Pelham City,(205)624-3700,http://www.pelhamcityschools.org,3160 Pelham Parkway,Pelham,AL,35124,0100194,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Pike Road City,(334)420-5300,http://prs.school,9045 Vaughn Road,Montgomery,AL,36117,0100195,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,MAEF Public Charter Schools,(251)476-0002,http://605 Bel Air Bvd Suite 21,3725 AIRPORT BLVD,MOBILE,AL,36608,0100197,Independent charter district,PK,12,
AL,ALABAMA,University Charter School,(205)754-3440,http://www.universitycharterschool.org,134 University Drive,Livingston,AL,35470,0100199,Independent charter district,PK,12,
AL,ALABAMA,Legacy Prep,(205)573-0777,http://www.legacyprepal.org,1500 Daniel Payne Drive,Birmingham,AL,35214,0100201,Independent charter district,PK,12,
AL,ALABAMA,Gulf Shores City,(251)968-9873,http://www.gsboe.org,300 East 16th Ave,Gulf Shores,AL,36542,0100202,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,LEAD Academy,(334)451-3127,http://www.leadacademyal.org,2897 Eastern Blvd,Montgomery,AL,36116,0100203,Independent charter district,PK,12,
AL,ALABAMA,i3 Academy,(205)403-5777,http://www.i3academy.org,1 55th Place South,Birmingham,AL,35212,0100204,Independent charter district,PK,12,
AL,ALABAMA,LIFE Academy,(646)462-8633,http://www.LIFEAcademyAL.com,2048 West Fairview Avenue,Montgomery,AL,36108,0100207,Independent charter district,PK,12,
AL,ALABAMA,Breakthrough Charter School,(334)247-9577,http://www.breakthroughcharterschool.org,1820 Prier Drive,Marion,AL,35756,0100208,Independent charter district,PK,12,
AL,ALABAMA,Auburn City,(334)887-2100,http://www.auburnschools.org,855 E Samford Ave,Auburn,AL,36830,0100210,Regular public school district that is not a component of a supervisory union,PK,12,
AL,ALABAMA,Magic City Acceptance Academy,(205)961-3204,http://www.magiccityacceptanceacademy.org/,75 Bagby Drive,Homewood,AL,35209,0100211,Independent charter district,PK,12,
AL,ALABAMA,Alabama School of Cyber Technology and Engineering,(256)489-3700,http://www.ascte.org,229 Wynn Drive NW,Huntsville,AL,35805,0100212,State operated agency,09,12,
AL,ALABAMA,Alabama Aerospace and Aviation,(205)538-0702,http://alaahs.org,1414 2nd Avenue North,Bessemer,AL,35020,0100213,Independent charter district,09,12,
