District IRN,District Name,Address,City,ZIP Code,County,Region,Superintendent,District Phone
000442,Manchester Local,130 Wayne Frye Dr,Manchester,45144-9314,Adams,Region 14,Nicholas K. Roberts,(937) 549-4777
043489,Akron City,10 N Main St,Akron,44308-1911,Summit,Region 8,Clarence M. Robinson Jr,(330) 761-1661
043497,Alliance City,200 Glamorgan St,Alliance,44601-2946,Stark,Region 9,Robert J. Gress,(330) 821-2100
043505,Ashland City,1407 Claremont Ave,Ashland,44805-3532,Ashland,Region 7,Steven B. Paramore,(419) 289-1117
043513,Ashtabula Area City,6610 Sanborn Rd,Ashtabula,44004-2405,Ashtabula,Region 5,Lisa L. Newsome,(440) 992-1201
043521,Athens City School District,21 Birge Dr,Chauncey,45719-1333,Athens,Region 16,Thomas J. Gibbs,(740) 797-4516
043539,Barberton City,633 Brady Ave,Barberton,44203-1737,Summit,Region 8,Jason C. Ondrus,(330) 753-1025
043547,Bay Village City,377 Dover Center Rd,Bay Village,44140-2304,Cuyahoga,Region 3,Scot T. Prebles,(440) 617-7300
043554,Beachwood City,24601 Fairmount Blvd,Beachwood,44122-2298,Cuyahoga,Region 3,Robert P. Hardis,(216) 464-2600
043562,Bedford City,475 Northfield Rd,Bedford,44146-2201,Cuyahoga,Region 3,Cassandra J. Johnson,(440) 439-1500
043570,Bellaire Local,340 34th St,Bellaire,43906-1589,Belmont,Region 12,PETER D. MCAFEE,(740) 676-1826
043588,Bellefontaine City,820 Ludlow Rd,Bellefontaine,43311-1852,Logan,Region 6,Bradley J. Hall,(937) 593-9060
043596,Bellevue City,125 North St,Bellevue,44811-1423,Huron,Region 2,Troy T. Roth,(419) 484-5000
043604,Belpre City,2014 Rockland Ave,Belpre,45714-1118,Washington,Region 16,Jeffrey S. Greenley,(740) 423-9511
043612,Berea City,390 Fair St,Berea,44017-2308,Cuyahoga,Region 3,Tracy L. Wheeler,(216) 898-8300
043620,Bexley City,348 S Cassingham Rd,Bexley,43209-1897,Franklin,Region 11,Jason A. Fine,(614) 231-7611
043638,Bowling Green City School District,137 Clough St,Bowling Green,43402-2901,Wood,Region 1,Ted M. Haselman,(419) 354-0800
043646,Brecksville-Broadview Heights City,6638 Mill Rd,Brecksville,44141-1512,Cuyahoga,Region 3,Jeffrey D. Harrison,(440) 740-4000
043653,Brooklyn City,9200 Biddulph Rd,Brooklyn,44144-2614,Cuyahoga,Region 3,Theodore Caleris,(216) 485-8100
043661,Brunswick City,3643 Center Rd,Brunswick,44212-3619,Medina,Region 8,Jason A. Niedermeyer,(330) 225-7731
043679,Bryan City,1350 Fountain Grove Dr,Bryan,43506-8733,Williams,Region 1,Mark D. Rairigh,(419) 636-6973
043687,Bucyrus City,170 Plymouth St,Bucyrus,44820-1627,Crawford,Region 7,Robert A. Britton,(419) 562-4045
043695,Cambridge City,518 S 8th St,Cambridge,43725-8865,Guernsey,Region 12,Daniel A. Coffman,(740) 439-5021
043703,Campbell City,280 6th St,Campbell,44405-1325,Mahoning,Region 5,Matthew L. Bowen,(330) 799-8777
043711,Canton City,1312 5th St SW,Canton,44707-4657,Stark,Region 9,Jeffery S. Talbert,(330) 438-2500
043729,Celina City,585 E Livingston St,Celina,45822-1742,Mercer,Region 6,Brooke M. Gessler,(419) 586-8300
043737,Centerville City,111 Virginia Ave,Centerville,45458-2249,Montgomery,Region 10,Jon T. Wesney,(937) 433-8841
043745,Chillicothe City,425 Yoctangee Pkwy,Chillicothe,45601-1663,Ross,Region 15,Deborah M. Swinehart,(740) 775-4250
043752,Cincinnati Public Schools,2651 Burnet Ave,Cincinnati,45219-2551,Hamilton,Region 13,Shauna J. Murphy,(513) 363-0000
043760,Circleville City,388 Clark Dr,Circleville,43113-1517,Pickaway,Region 11,Kimberly K. Halley,(740) 474-4340
043778,Claymont City,201 N 3rd St,Dennison,44621-1237,Tuscarawas,Region 12,Brian J. Rentsch,(740) 922-5478
043786,Cleveland Municipal,1111 Superior Ave E,Cleveland,44114-2522,Cuyahoga,Region 3,Warren G. Morgan II,(216) 574-8000
043794,Cleveland Heights-University Heights City,2155 Miramar Blvd,University Heights,44118-3301,Cuyahoga,Region 3,Elizabeth A. Kirby,(216) 371-7171
043802,Columbus City Schools District,1091 King Ave,Columbus,43212-2204,Franklin,Region 11,Angela M. Chapman,(614) 365-5000
043810,Conneaut Area City,230 Gateway Ave Ste B,Conneaut,44030-2355,Ashtabula,Region 5,Lori A. Riley,(440) 593-7200
043828,Coshocton City,1207 Cambridge Rd,Coshocton,43812-2742,Coshocton,Region 12,Ronald Kowalski,(740) 622-1901
043836,Cuyahoga Falls City,405 Tallmadge Rd Ste 2201,Cuyahoga Falls,44221-2521,Summit,Region 8,Andrea Celico,(330) 926-3800
043844,Dayton City,136 S Ludlow St,Dayton,45402-1812,Montgomery,Region 10,David E. Lawrence,(937) 542-3000
043851,Deer Park Community City,8688 Donna Ln,Cincinnati,45236-2509,Hamilton,Region 13,Jack W. Phillips III,(513) 891-0222
043869,Defiance City,801 S Clinton St,Defiance,43512-2700,Defiance,Region 1,Robert R. Morton,(419) 782-0070
043877,Delaware City,74 W William St,Delaware,43015-2339,Delaware,Region 11,Heidi S. Kegley,(740) 833-1100
043885,Delphos City,901 Wildcat Ln,Delphos,45833-1690,Allen,Region 6,Jeffrey R. Hobbs,(419) 692-2509
043893,Dover City,228 W 6th St,Dover,44622-2803,Tuscarawas,Region 12,Karen J. McCrate,(330) 364-1906
043901,East Cleveland City School District,1843 Stanwood Rd,East Cleveland,44112-2901,Cuyahoga,Region 3,Henry Pettiegrew,(216) 268-6600
043919,East Liverpool City,810 W 8th St,East Liverpool,43920-2302,Columbiana,Region 5,Jonathan R. Ludwig,(330) 385-7132
043927,East Palestine City,200 West North Avenue,East Palestine,44413-1779,Columbiana,Region 5,James A. Rook,(330) 426-4191
043935,Eaton Community City,306 Eaton Lewisburg Rd,Eaton,45320-1105,Preble,Region 10,Jeff J. Parker,(937) 456-1107
043943,Elyria City Schools,42101 Griswold Rd,Elyria,44035-2117,Lorain,Region 2,Ann E. Schloss,(440) 284-8000
043950,Euclid City,651 E 222nd St,Euclid,44123-2031,Cuyahoga,Region 3,Christopher M. Papouras,(216) 261-2900
043968,Fairborn City,306 E Whittier Ave,Fairborn,45324-5313,Greene,Region 10,Eugene Lolli,(937) 878-3961
043976,Fairview Park City,21620 Mastick Rd,Fairview Park,44126-3047,Cuyahoga,Region 3,Keith J. Ahearn,(440) 331-5500
043984,Findlay City,1100 Broad Ave,Findlay,45840-2651,Hancock,Region 1,Ethan A. Hatton,(419) 425-8212
043992,Fostoria City,1001 Park Ave,Fostoria,44830-1455,Seneca,Region 1,Jason D. Longbrake,(419) 435-8163
044008,Franklin City,754 E 4th St,Franklin,45005-2559,Warren,Region 13,Michael D. Sander,(937) 746-1699
044016,Fremont City,500 W State St,Fremont,43420-2572,Sandusky,Region 1,Denice M. Hirt,(419) 332-6454
044024,Galion City,470 Portland Way N,Galion,44833-1115,Crawford,Region 7,Jeffrey D. Hartmann,(419) 468-3432
044032,Gallipolis City,61 State St,Gallipolis,45631-1131,Gallia,Region 16,Craig D. Wright,(740) 446-3211
044040,Garfield Heights City Schools,5640 Briarcliff Dr,Garfield Heights,44125-4158,Cuyahoga,Region 3,Richard D. Reynolds,(216) 475-8100
044057,Geneva Area City,1301 S Ridge Rd E Ste A,Geneva,44041-1513,Ashtabula,Region 5,David H. Riley,(440) 466-4831
044065,Girard City School District,100 W Main St Ste 2,Girard,44420-2598,Trumbull,Region 5,Bryan J. Ohara,(330) 545-2596
044073,Grandview Heights Schools,1587 W 3rd Ave,Columbus,43212-2825,Franklin,Region 11,Andrew K. Culp,(614) 485-4015
044081,Winton Woods City,825 Waycross Rd Ste A,Cincinnati,45240-1617,Hamilton,Region 13,Steven K. Denny,(513) 619-2300
044099,Greenville City,215 W 4th St,Greenville,45331-1423,Darke,Region 10,Douglas W. Fries,(937) 548-3185
044107,Hamilton City,533 Dayton St,Hamilton,45011-0627,Butler,Region 13,Michael V. Holbrook,(513) 887-5000
044115,Heath City,107 Lancaster Dr,Heath,43056-1220,Licking,Region 11,Trevor R. Thomas,(740) 238-7110
044123,Hillsboro City,39 Willetsville Pike,Hillsboro,45133-8277,Highland,Region 14,Brian T. Davis,(937) 393-3475
044131,Huron City Schools,710 Cleveland Rd W,Huron,44839-1871,Erie,Region 2,James J. Tatman,(419) 433-1234
044149,Ironton City School District,105 S 5th St,Ironton,45638-1426,Lawrence,Region 15,James A. Payne,(740) 532-4133
044156,Jackson City,450 Vaughn St,Jackson,45640-1944,Jackson,Region 16,Phillip R. Howard,(740) 286-6442
044164,Kent City,321 N Depeyster St,Kent,44240-2514,Portage,Region 8,Thomas P. Larkin,(330) 676-7600
044172,Kenton City,222 W Carrol St,Kenton,43326-1202,Hardin,Region 6,Chad A. Thrush,(419) 673-0775
044180,Kettering City School District,500 Lincoln Park Blvd,Kettering,45429-3492,Montgomery,Region 10,Melinda A. Mccarty-Stewart,(937) 499-1430
044198,Lakewood City,13701 Lake Ave,Lakewood,44107-3918,Cuyahoga,Region 3,Margaret M. Niedzwiecki,(216) 529-4092
044206,Lancaster City,2780 Coonpath Rd NE,Lancaster,43130-3166,Fairfield,Region 11,Nathan A. Hale,(740) 687-7300
044214,Lebanon City,160 Miller Rd,Lebanon,45036-1648,Warren,Region 13,Isaac W. Seevers,(513) 934-5770
044222,Lima City,755 Saint Johns Ave,Lima,45804-1552,Allen,Region 6,Jill A. Ackerman,(419) 996-3400
044230,Lockland Local,125 S Cooper Ave,Cincinnati,45215-3011,Hamilton,Region 13,Robert J. Longworth,(513) 563-5000
044248,Logan-Hocking Local,2019 E Front St,Logan,43138,Hocking,Region 16,Monte D. Bainter II,(740) 385-8517
