RCDTS,DistrictName,Superintendent,Telephone,Website,City,CountyName,GradesServed,Mailing Address,Zip
010010010,Payson CUSD 1,Dr. Donna Veile,217-656-3323,http://www.cusd1.org,Payson,Adams,P-12,406 W State St,62360 1041
010010020,Liberty CUSD 2,Dr. Kelle Bunch,217-645-3433,http://www.libertyschool.net,Liberty,Adams,P-12,505 N Park St,62347 1107
010010030,Central CUSD 3,Mrs. Erica Smith,217-593-7116,http://www.cusd3.com,Camp Point,Adams,P-12,2110 Highway 94 N,62320 2516
010010040,CUSD 4,Mr. Scott Riddle,217-936-2111,http://www.cusd4.com,Mendon,Adams,P-12,PO Box 200,62351 0200
010011720,Quincy SD 172,Mr. Lanty McGuire,217-223-8700,http://www.qps.org,Quincy,Adams,P-12,1416 Maine St,62301 4261
010050010,Brown County CUSD 1,Dr. Lan Eberle,217-773-7401,http://www.bchornets.com,Mt Sterling,Brown,P-12,502 E Main St,62353 1377
010090150,Beardstown CUSD 15,Mr. Brent ODaniell,217-323-3099,http://beardstown.com,Beardstown,Cass,P-12,500 E 15th St,62618 2052
010090640,Virginia CUSD 64,Mrs. Mekelle Neathery,217-452-3085,http://www.virginia64.com,Virginia,Cass,P-12,651 S Morgan St,62691 1547
010092620,A-C Central CUSD 262,Dr. Amy Zahm,217-476-8112,http://www.a-ccentral.com,Ashland,Cass,P-12,PO Box 260,62612 0260
010690010,Franklin CUSD 1,Mr. Jeff Waggener,217-675-2395,http://www.franklinhigh.com,Franklin,Morgan,P-12,110 State,62638 4933
010690060,Waverly CUSD 6,Mr. Rob Pipher,217-435-8121,http://www.wsd6.org,Waverly,Morgan,P-12,201 N Miller St,62692 1041
010690110,Meredosia-Chambersburg CUSD 11,Mr. Thad W Walker,217-584-1744,http://www.mcsd11.net,Meredosia,Morgan,P-12,830 Main St,62665 7357
010690270,Triopia CUSD 27,Mr. Adam Dean,217-457-2283,http://www.triopiacusd27.org/,Concord,Morgan,P-12,2204 Concord Arenzville Rd,62631 5017
010691170,Jacksonville SD 117,Mr. Steve Ptacek,217-243-9411,http://www.jsd117.org,Jacksonville,Morgan,P-12,211 W State St,62650 1997
010750030,Pleasant Hill CUSD 3,Mrs. Kylee Orr,217-734-2311,http://www.phwolves.com,Pleasant Hill,Pike,P-12,PO Box 277,62366 0277
010750040,Griggsville-Perry CUSD 4,William Capps,217-833-2352,http://www.griggsvilleperry.org,Griggsville,Pike,P-12,PO Box 439,62340 0439
010750100,Pikeland CUSD 10,Dr. Russ Tepen,217-285-2147,http://www.pikeland.org,Pittsfield,Pike,P-12,512 S Madison St,62363 1960
010750120,Western CUSD 12,Mr. Darin Powell,217-335-2323,http://westerncusd12.org,Barry,Pike,P-12,401 McDonough St,62312 1031
010860010,Winchester CUSD 1,Mr. Jeff Abell,217-742-3175,http://www.winchesterschools.net,Winchester,Scott,P-12,149 S Elm St,62694 1246
010860020,Scott-Morgan CUSD 2,Mrs. Brandi Pennock,217-754-3351,http://www.bluffs-school.com,Bluffs,Scott,P-12,PO Box 230,62621 0230
030030010,Mulberry Grove CUSD 1,Mrs. Casie Bowman,618-326-8812,http://www.mgschools.com,Mulberry Grove,Bond,P-12,801 W Wall St,62262 1049
030030020,Bond County CUSD 2,Wes Olson,618-664-0170,,Greenville,Bond,P-12,1008 N Hena St,62246 1378
030110010,Morrisonville CUSD 1,Mr. Patrick Murphy,217-707-6882,http://www.mohawks.net,Morrisonville,Christian,P-12,PO Box 13,62546 0013
030110030,Taylorville CUSD 3,Mrs. Brandi Bruley,217-824-4951,https://www.tcusd3.org/,Taylorville,Christian,P-12,1100 Sportsman Dr,62568 1239
030110040,Edinburg CUSD 4,Mrs. Ashley Francis,217-623-5603,http://ecusd4.com,Edinburg,Christian,P-12,100 E Martin St,62531 9713
030110080,Pana CUSD 8,Mrs. Jessica Miller,217-562-1500,http://www.panaschools.com,Pana,Christian,P-12,PO Box 377,62557 0377
030110140,South Fork SD 14,Mr. Chris E Clark,217-237-4333,http://www.southforkschools.com,Kincaid,Christian,P-12,PO Box 20,62540 0020
030250100,Altamont CUSD 10,Ms. Casey Adam,618-483-6195,https://www.altamontschools.org/,Altamont,Effingham,P-12,7 S Ewing St,62411 1265
030250200,Beecher City CUSD 20,Mr. Philip E Lark,618-487-5100,http://www.beechercity.org,Beecher City,Effingham,P-12,438 E State Highway 33,62414 2219
030250300,Dieterich CUSD 30,Mr. Cary Jackson,217-925-5249,http://www.dieterichschools.org,Dieterich,Effingham,P-12,PO Box 187,62424 0187
030250400,Effingham CUSD 40,Mr. Andrew D Johnson,217-540-1500,https://www.unit40.org,Effingham,Effingham,P-12,PO Box 130,62401 0130
030250500,Teutopolis CUSD 50,Mr. Matthew Sturgeon,217-857-3535,http://www.teutopolisschools.org,Teutopolis,Effingham,P-12,PO Box 607,62467 0607
030262010,Brownstown CUSD 201,Mr. David Lund,618-427-3355,http://www.bcusd201.com,Brownstown,Fayette,P-12,421 S College Ave,62418 1129
